"Part";"Value";"Device";"Package";"Description";"";
"3.3V";"TP_LOOP";"TP_LOOP";"TP_LOOP";"";"";
"5.0V";"TP_LOOP";"TP_LOOP";"TP_LOOP";"";"";
"C1";"4.7uf";"CAPACITOR_POLARIZEDE5-6";"CAP200MILPOLARIZED";"POLARIZED CAPACITOR, American symbol";"";
"C3";"4.7uf";"CAPACITOR_POLARIZEDE5-6";"CAP200MILPOLARIZED";"POLARIZED CAPACITOR, American symbol";"";
"C5";"4.7uf";"CAPACITOR_POLARIZEDE5-6";"CAP200MILPOLARIZED";"POLARIZED CAPACITOR, American symbol";"";
"C19";"0.1uf";"CAPACITOR050-024X044";"CAP200MIL";"CAPACITOR, American symbol";"";
"GND";"TP_LOOP";"TP_LOOP";"TP_LOOP";"";"";
"IC1";"LM2937";"LM2937";"TO220";"LM2937-2.5, LM2937-3.3 400mA and 500mA Voltage Regulators";"";
"JP1";"";"PINHD-1X2";"1X02";"PIN HEADER";"";
"JP2";"";"PINHD-1X3";"1X03";"PIN HEADER";"";
"JP3";"";"PINHD-1X3";"1X03";"PIN HEADER";"";
"JP4";"";"PINHD-1X3";"1X03";"PIN HEADER";"";
"JP5";"";"PINHD-1X3";"1X03";"PIN HEADER";"";
"JP6";"";"PINHD-1X3";"1X03";"PIN HEADER";"";
"LED2";"";"LED3MM";"LED3MM";"Avago Technologies LED";"";
"R1";"1K";"RESISTOR0204/5";"RES200MIL";"RESISTOR, American symbol";"";
"R3";"10K";"RESISTOR0204/7";"RES300MIL";"RESISTOR, American symbol";"";
"U$1";"ESP_8266";"ESP_8266";"ESP8266";"";"";
"U$2";"TM4C_BP";"TM4C_BP";"TM4C_BOOSTER_PACK";"";"";
"U$5";"POWER_CONN";"POWER_CONN";"POWER_CONN";"";"";
"U$6";"SW_POWER_100MIL";"SW_POWER_100MIL";"SW_POWER";"";"";
